listing_url,shop_name,size_options,shop_location,allows_returns,total_shop_sales,shop_reviews_count,shop_5_star_rating_percentage,shop_4_star_rating_percentage,shop_3_star_rating_percentage,shop_2_star_rating_percentage,shop_1_star_rating_percentage,item_reviews_count,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,listing_customer_reviews,start_price,ship_cost_germany
https://www.etsy.com/listing/1170100288/lace-flower-girl-lace-girl-dress-lace?click_key=bddc0d59faf26a3c4a756a44ea3bd879bc082d42%3A1170100288&click_sum=e53d4cc5&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-1&cns=1,ExklusivFestmode,4,Germany,1,6900,1009,0.91,0.06,0.02,0.0,0.01,0,N.A.,N.A.,N.A.,N.A.,69.99,5.0
https://www.etsy.com/listing/966209058/lace-flower-girl-lace-girl-dress-ecru?click_key=7b547367a9b65efbd86dbf38ad8bb5230e0c49e2%3A966209058&click_sum=9953885c&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-2,ExklusivFestmode,6,Germany,1,6900,1009,0.0,0.0,0.0,0.0,0.0,13,The seller quickly answered all my questions. The dress lam quite fast and the price performance ratio is great!!,A very great dress that fits our granddaughter wonderfully and suits her great. The quality is very neat - gladly again!!,Value for money very good 👍,"Very fast delivery, fits perfectly.",79.99,5.0
https://www.etsy.com/listing/638764815/flower-girl-dress-pippas-middelton?click_key=196ba21e59b4fc319ededf822d1fc353d9f8d648%3A638764815&click_sum=9d5c6ea1&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-3&frs=1,MariaPlateroKidsClot,14,Spain,0,2225,351,0.0,0.0,0.0,0.0,0.0,26,The dresses were perfect and Maria was such a pleasure to work with!,Absolutely perfect!! I ordered 4 flower girl dresses and I couldn’t be happier. Maria was quick to respond and helped me with color choices. The quality is great and the turnaround for 4 made to order dresses was quick (5 weeks from order date to arrival). These dresses were exactly what I was picturing but couldn’t find in any store. Would 100% recommend to everybody!,These were the sweetest dress I could have imagined for flower girls. They make the absolute most beautiful twirl too! The dresses are very well made and Maria was great to work with! She communicated a lot throughout the process and sent the dress to us quickly! I would recommend these to absolutely everyone.,"Wow! I can’t say enough good things. As soon as I submitted my order, Maria contacted me. We discussed sizes, deciding to add an extra inch of length. I have to say I was a bit nervous to order a custom dress online/have it shipped to the States. If you’re in that same boat, don’t be! Everything about this experience exceeded my expectations by far! You’re in GREAT hands with Maria! I can’t wait to have my girls wear these dresses for their Aunt’s wedding in May.",108.0,0.0
https://www.etsy.com/listing/1134821116/flower-girl-dress-long-sleeve-flower?click_key=62c6d6676dc74eff9d3f61a370b80cc3c332f229%3A1134821116&click_sum=22fd9ea0&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-4&pro=1,BeverlyCoStore,0,Ukraine,0,355,84,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,102.84,52.86
https://www.etsy.com/listing/1250444439/flower-girl-dress-pippas-middelton?click_key=6fe7920a37da7bcee9c348df82f8f9110a8e4666%3A1250444439&click_sum=d7c097cf&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-5&frs=1,MariaPlateroKidsClot,16,Spain,0,2225,351,0.97,0.01,0.01,0.0,0.01,0,N.A.,N.A.,N.A.,N.A.,108.0,0.0
https://www.etsy.com/listing/1282456361/super-fluffy-baby-girls-tutu-tulle-dress?click_key=8049c6a819f5d5b27498276567830d22dbd6f31f%3A1282456361&click_sum=9e29670b&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-6&frs=1,MadameSaram,17,Germany,0,123,42,0.95,0.02,0.02,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,89.86,0.0
https://www.etsy.com/listing/974130284/lace-flower-girl-lace-girl-dress-lace?click_key=e5fcf1a9bfa6bf1ebee3107f19711c7242f903a1%3A974130284&click_sum=b809a51d&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-7,ExklusivFestmode,5,Germany,1,6900,1009,0.0,0.0,0.0,0.0,0.0,0,N.A.,N.A.,N.A.,N.A.,79.99,5.0
https://www.etsy.com/listing/947897513/long-sleeve-flower-girl-dress-toddler?click_key=7f30b170eade9706a51412cc57b6612b3f98c4a7%3A947897513&click_sum=758f36dc&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-8&pro=1,BeverlyCoStore,0,Ukraine,0,355,84,0.0,0.0,0.0,0.0,0.0,19,"The dress fit my daughter PERFECTLY!!! She got so many compliments and the material was easy on her skin, she stayed in it all night! This dress is worth every penny!! Seller offered expedited shipping and it got here just in time. Great communication!",This dress is absolutely gorgeous!!! The  quality is amazing and the customer service was fantastic and always prompt! Highly recommend this shop and product !,Customer service was excellent! So helpful with questions and always responded back quickly! Got this for my daughter for a flower girl dress and it was greatly made and beautiful! Would highly recommend!,"Absolutely beautiful, exceeding my expectations. I would highly recommend and the seller was so helpful!!! Thank you so much!",102.84,52.86
https://www.etsy.com/listing/701961498/white-flower-girl-dress-white-lace?click_key=b2dd0fcba06ce83108e63352d66319b2ae2ebff1%3A701961498&click_sum=ee9bdb24&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-1,MissDandyAtelier,5,Spain,1,7936,985,0.0,0.0,0.0,0.0,0.0,9,"I was very sceptical. A dress from Spain what, for such a dress, costs so little. But I'm really excited. We really like it. The tip is very soft and it falls very nicely.",Beautiful dress for the 1st Holy Communion in summer. Delivery to Germany went smoothly. Highly recommended.,Beautiful dress with gorgeous detail. Helpful shop and responsive to questions.,Beautiful dress. We are thrilled.  Everything worked out great.The dress is great and the communication was great.Very happy to return. LG from Germany,52.5,10.0
https://www.etsy.com/listing/168502646/baby-girl-dress-baby-girl-sailor-dress?click_key=7f9c34af6be7dc9537206144b5add11110023cc7%3A168502646&click_sum=edf18585&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-2&sts=1,OsEstorninhos,9,Portugal,1,17416,2728,0.0,0.0,0.0,0.0,0.0,9,"Beautifully made. I have been looking for something just like this. Very happy with my nieces' new summer dress.
Thank you",Made so well! Such good quality and beautiful item!,"This is my fifth shopping from this store, amazing and nice. Love it! Arrived fast and I will continue shopping from this shop.",very beautiful and great quality!,32.0,6.8
https://www.etsy.com/listing/941605319/burgundy-flower-girl-dress-black-lace?click_key=e1149eba4b1e280e5bf28fd4a0f1c8ef588e6360%3A941605319&click_sum=cda2bc79&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-3,MissDandyAtelier,10,Spain,1,7936,985,0.91,0.06,0.02,0.0,0.02,0,N.A.,N.A.,N.A.,N.A.,34.95,8.0
