listing_name,listing_url,listing_image,shop_name,start_price,size_options,ship_cost_germany,allows_returns,shop_location,shop_rating,shop_review_counts,item_review_counts,customer_item_reviews
"White flower girl dress, Lace flower girl dress, Flower girl dress tutu, Tulle flower girl dress",https://www.etsy.com/listing/933095128/white-flower-girl-dress-lace-flower-girl?click_key=74eeadc9569a62e0ebbfd1f502bca5681cad856a%3A933095128&click_sum=714392eb&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-1&pro=1,https://i.etsystatic.com/23909643/c/1721/1367/0/389/il/b3aa0e/2859444525/il_340x270.2859444525_3g4v.jpg,BeverlyCoStore,83.36,0,0,1,Ukraine,5,84,0,N.A.
"Flower Girl Dress, Wedding, Ivory, Chiffon, Tull, Knee-length, Beaded (D032)",https://www.etsy.com/listing/1125944983/flower-girl-dress-wedding-ivory-chiffon?click_key=c18ff9c4176b72541bc60c8ae7fabca874538c2d%3A1125944983&click_sum=19c14ccd&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-2&frs=1,https://i.etsystatic.com/14118926/r/il/65855c/3533668195/il_340x270.3533668195_b43v.jpg,PetiteLuluStudio,60.00,15,0,0,Germany,5,93,5,"[""PERFECT!!! Everything is as in the picture all details and even more beautiful.. \nIt was not easy to meet my criteria when it comes to my daughter's dress for my wedding but you definitely succeeded.\nThank you!!!💕"", 'What a magnificent work! The dress is superb, it fits like a glove. Communication at the top. Thank you very much, I could not have imagined a more beautiful outfit for my daughter for my wedding. Thank you', 'Just like the picture! Love it!', 'N.A.']"
Communion Dress Communion Dress Flower Girl Dress,https://www.etsy.com/listing/779701917/communion-dress-communion-dress-flower?click_key=345bedcfc422178a062c895f082fa641dceec602%3A779701917&click_sum=098c7fb3&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-3&frs=1,https://i.etsystatic.com/18224465/c/1319/1048/823/5/il/c6af68/2241673279/il_340x270.2241673279_m927.jpg,LoliweKids,95.90,4,0,0,Germany,5,1.683,0,N.A.
dusty rose flower girl dress baby linen dress,https://www.etsy.com/listing/1209369337/dusty-rose-flower-girl-dress-baby-linen?click_key=275098dec62a698df18c1a8e07880305928ee6f2%3A1209369337&click_sum=bcc8a0a7&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-4&frs=1,https://i.etsystatic.com/30993712/r/il/562f0e/3833590947/il_340x270.3833590947_3klm.jpg,SchoenBoutique,68.20,15,0,1,Germany,5,69,0,N.A.
Communion Dress Communion Dress Flower Girl Dress,https://www.etsy.com/listing/769082893/communion-dress-communion-dress-flower?click_key=4ff76dfe2d883f0ae0c5fbf33eca10942fbc8caa%3A769082893&click_sum=fbd4859c&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-5&frs=1,https://i.etsystatic.com/18224465/c/2029/1613/450/8/il/4353a8/2194019728/il_340x270.2194019728_df5j.jpg,LoliweKids,108.90,4,0,0,Germany,5,1.683,0,N.A.
"Lace flower girl, lace girl dress, lace dress, flower girl dress white lace, first communion dress size 116-164",https://www.etsy.com/listing/1170100288/lace-flower-girl-lace-girl-dress-lace?click_key=83813f1ce3928dfeb40df01b6d658fa0493f20e7%3A1170100288&click_sum=aa04d0cc&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-6&cns=1,https://i.etsystatic.com/18260361/c/776/617/23/182/il/f6b760/3688664058/il_340x270.3688664058_pf87.jpg,ExklusivFestmode,69.99,4,0,1,Germany,5,1.008,0,N.A.
"Flower Girl Dress, Birthday, Pink, Knee-Length,  Tulle, Satin,  Feather,(D008)",https://www.etsy.com/listing/679355180/flower-girl-dress-birthday-pink-knee?click_key=386065e0b12cbda66deb1db52f775bc3831ca631%3A679355180&click_sum=ae74eec8&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-7&frs=1,https://i.etsystatic.com/14118926/c/1865/1481/0/478/il/459f01/1890242917/il_340x270.1890242917_of0p.jpg,PetiteLuluStudio,75.00,15,0,0,Germany,5,93,0,N.A.
christmas dress flower girl dress in white and other colors available,https://www.etsy.com/listing/1160365834/christmas-dress-flower-girl-dress-in?click_key=c0bd26108e090b61e12743a4192b95ae4ce2efb9%3A1160365834&click_sum=ef7831a3&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-1-8&frs=1,https://i.etsystatic.com/30993712/c/901/716/0/34/il/ff5983/4170044164/il_340x270.4170044164_ghpm.jpg,SchoenBoutique,79.90,15,0,1,Germany,5,69,4,"['I ordered this dress for a baptism. Rimma was very accommodating, answered my questions about the right size of the dress and so I was soon able to place my order. The dress was with me within a very short time, even though I ordered from another country. The package was lovingly packed and the dress exactly according to my ideas, beautifully sewn. Rimma puts a lot of effort into it, you can feel it. I can recommend this shop with a clear conscience.Thank you very much!  :)', 'Absolutely love this sweet little dress! It was made so well and sizing is appropriate.', 'VERY well made linen dress! Beautiful. My granddaughter is wearing it my sons wedding as flower girl. Shipped perfectly and a sweet thank you note as well. Extremely happy with my dress order .', 'N.A.']"
Beaded Lace V Back Champagne Tulle Wedding Flower Girl Dress M0084,https://www.etsy.com/listing/700863869/beaded-lace-v-back-champagne-tulle?click_key=3680f36b437525a48473a1b6f2edf07c268bc587%3A700863869&click_sum=3a93ba56&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-1,https://i.etsystatic.com/12079668/r/il/e900e8/2151542861/il_340x270.2151542861_fjpr.jpg,MillyWeddingshop,121.50,14,0,1,United Kingdom,5,2.696,11,"['Loved our dresses ! The girls were stunning - thank you for being so accommodating & rushing through order !', 'I cannot recommend this seller enough. She has made both my girls communion dresses and each was stunning. People couldn’t believe that these were made and sent and for such a low price. You cannot beat the quality and look for the price.', ""The dresses are absolutely stunning and so well made! I can't wait to see them on on my wedding day! Thank you so much ❤️"", 'This dress is absolutely gorgeous!']"
"Organic, children's T-shirt dress made of jersey ""Zwack"", certified organic fabrics, child-friendly and comfortable, handmade in Lusatia, organic and fair",https://www.etsy.com/listing/951634345/organic-childrens-t-shirt-dress-made-of?click_key=e42f4a75d274dc640a8f1c6592575043449b89be%3A951634345&click_sum=4c43c6d4&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=flower+girl+dress&ref=search_in_grid-2-2,https://i.etsystatic.com/11219223/r/il/29d022/2899752264/il_340x270.2899752264_2gsp.jpg,nekkeklix,19.90,7,0,1,Germany,5,221,0,N.A.
